OFORDER_ID,TABLE_NUMBER,EMPLOYEE_ID,BRANCH_ID,EMPLYEE_RATING
O000350,43,E000200,B001,3
O000351,42,E009447,B001,5
O000355,19,E012720,B001,4
O000359,35,E007976,B001,5
O000363,28,E011632,B001,5
O000368,41,E014659,B001,5
O000369,49,E003846,B001,5
O000370,31,E006325,B001,5
O000372,42,E012781,B001,5
O000373,44,E007428,B001,5
O000376,41,E009083,B001,1
O000380,36,E008292,B001,5
O000382,12,E003451,B001,3
O000385,29,E002854,B001,3
O000386,34,E011163,B001,5
O000388,33,E011298,B001,3
O000389,2,E004359,B001,2
O000395,31,E003965,B001,5
O000401,28,E014012,B001,5
O000410,23,E000923,B001,1
O000411,31,E005585,B001,5
O000414,7,E005257,B001,2
O000417,35,E014125,B001,5
O000420,45,E007586,B001,2
O000421,24,E008860,B001,5
O000429,25,E000685,B001,1
O000437,45,E002658,B001,5
O000438,33,E009855,B001,5
O000439,17,E010452,B001,5
O000440,10,E007752,B001,5
O000443,47,E004401,B001,4
O000444,49,E010317,B001,5
O000445,18,E008387,B001,5
O000451,37,E005994,B001,5
O000454,30,E003339,B001,5
O000462,37,E004030,B001,5
O000465,8,E005719,B001,2
O000469,13,E011403,B001,2
O000472,36,E012944,B001,5
O000473,49,E012388,B001,2
O000475,42,E002365,B001,5
O000478,38,E012445,B001,4
O000483,22,E012094,B001,5
O000484,27,E002963,B001,5
O000492,30,E011532,B001,5
O000494,48,E001792,B001,5
O000496,49,E009010,B001,4
O000503,5,E014751,B001,5
O000508,29,E007178,B001,5
O000509,6,E011501,B001,5
O000515,14,E000501,B001,5
O000516,22,E013524,B001,3
O000517,17,E006177,B001,5
O000519,20,E014370,B001,5
O000529,2,E007327,B001,4
O000530,14,E010954,B001,5
O000536,25,E008067,B001,5
O000539,26,E012518,B001,1
O000543,44,E001433,B001,2
O000545,31,E000739,B001,2
O000548,3,E000302,B001,5
O000555,45,E010066,B001,1
O000556,14,E000816,B001,4
O000557,26,E014370,B001,3
O000558,39,E009762,B001,5
O000559,27,E009212,B001,5
O000561,23,E014199,B001,3
O000562,36,E003487,B001,5
O000569,6,E010339,B001,2
O000575,49,E010675,B001,2
O000578,12,E012774,B001,5
O000579,12,E002414,B001,5
O000580,38,E003309,B001,5
O000581,29,E003862,B001,5
O000583,27,E002446,B001,5
O000584,29,E009416,B001,5
O000585,41,E012667,B001,5
O000586,14,E006342,B001,1
O000587,4,E010631,B001,3
O000590,35,E003400,B001,5
O000591,39,E012753,B001,5
O000593,4,E007654,B001,5
O000596,16,E006386,B001,3
O000598,36,E013286,B001,5
O000599,45,E008685,B001,5
O000603,16,E003422,B001,4
O000604,41,E003702,B001,5
O000605,27,E008819,B001,2
O000611,29,E007945,B001,4
O000617,2,E006796,B001,1
O000618,10,E005059,B001,5
O000624,11,E009154,B001,5
O000625,13,E009048,B001,1
O000629,17,E005611,B001,4
O000633,37,E004096,B001,5
O000637,21,E012935,B001,5
O000641,38,E012978,B001,5
O000642,33,E005657,B001,2
O000644,17,E000886,B001,5
O000645,6,E009021,B001,5
O000647,7,E000170,B001,5
O000653,23,E013170,B001,5
O000655,48,E000100,B001,5
O000659,12,E012590,B001,1
O000664,5,E002580,B001,5
O000670,31,E002679,B001,1
O000671,9,E007370,B001,5
O000672,41,E014346,B001,5
O000678,46,E003415,B001,2
O000680,16,E006097,B001,4
O000684,4,E014423,B001,5
O000686,13,E010107,B001,5
O000687,14,E004910,B001,5
O000690,50,E011379,B001,5
O000691,43,E003098,B001,5
O000699,41,E003984,B001,5
O000706,5,E014327,B001,5
O000707,10,E009790,B001,3
O000708,22,E009478,B001,5
O000711,24,E009625,B001,5
O000713,21,E011752,B001,5
O000715,41,E011354,B001,4
O000717,41,E006747,B001,4
O000724,46,E000706,B001,3
O000726,30,E011355,B001,5
O000728,4,E002853,B001,5
O000729,45,E008218,B001,1
O000732,23,E012325,B001,2
O000733,38,E011943,B001,5
O000738,32,E002032,B001,5
O000741,25,E002422,B001,5
O000745,31,E001361,B001,5
O000746,1,E014810,B001,5
O000749,48,E001303,B001,5
O000752,46,E009083,B001,5
O000756,5,E005407,B001,5
O000762,6,E006636,B001,5
O000768,15,E010955,B001,5
O000772,45,E002985,B001,5
O000773,44,E001550,B001,3
O000775,3,E014387,B001,3
O000777,22,E012909,B001,5
O000788,14,E011728,B001,5
O000790,9,E002034,B001,3
O000797,33,E000940,B001,5
O000799,38,E003134,B001,5
O000800,34,E014201,B001,5
O000806,34,E001140,B001,5
O000807,18,E010457,B001,4
O000810,50,E007570,B001,5
O000812,19,E010498,B001,5
O000814,33,E003865,B001,4
O000817,43,E004203,B001,5
O000819,15,E008980,B001,5
O000821,6,E014882,B001,5
O000822,17,E001081,B001,5
O000825,1,E010848,B001,5
O000826,48,E008779,B001,3
O000828,18,E010221,B001,5
O000830,46,E002469,B001,5
O000831,33,E008656,B001,5
O000833,15,E000867,B001,5
O000837,37,E008007,B001,5
O000838,13,E001884,B001,2
O000843,34,E000876,B001,4
O000844,30,E014836,B001,5
O000848,22,E013283,B001,5
O000849,41,E004505,B001,5
O000850,37,E000186,B001,5
O000851,12,E003878,B001,3
O000856,48,E008016,B001,3
O000858,40,E004948,B001,5
O000859,13,E002870,B001,5
O000861,34,E012493,B001,3
O000869,19,E012825,B001,5
O000873,45,E002693,B001,3
O000874,12,E002585,B001,5
O000878,18,E005367,B001,2
O000880,3,E000903,B001,5
O000887,20,E010779,B001,5
O000890,32,E008511,B001,3
O000895,42,E014251,B001,5
O000897,37,E009287,B001,1
O000913,19,E000329,B001,5
O000914,27,E005199,B001,2
O000925,7,E012194,B001,5
O000927,20,E011374,B001,5
O000929,1,E011632,B001,5
O000932,12,E013588,B001,5
O000933,22,E012099,B001,1
O000941,24,E014495,B001,5
O000944,17,E001215,B001,5
O000945,24,E013123,B001,5
O000946,4,E009733,B001,3
O000949,48,E008989,B001,5
O000950,4,E001583,B001,5
O000960,48,E001773,B001,5
O000971,31,E008958,B001,5
O000972,27,E005098,B001,4
O000976,48,E005639,B001,3
O000977,1,E010194,B001,1
O000983,25,E012405,B001,3
O000984,25,E000365,B001,5
O000987,31,E009844,B001,5
O000991,22,E014341,B001,5
O000992,3,E007035,B001,5
O000995,17,E000444,B001,4
O000996,17,E011022,B001,5
O000999,8,E001254,B001,2
O001004,39,E009893,B001,1
O001006,34,E003541,B001,5
O001007,18,E008495,B001,2
O001009,22,E010322,B001,5
O001012,10,E004350,B001,2
O001015,27,E010240,B001,5
O001017,44,E001593,B001,5
O001020,10,E003731,B001,3
O001023,6,E012584,B001,5
O001027,44,E006501,B001,5
O001028,22,E000616,B001,4
O001030,31,E013894,B001,5
O001031,45,E007563,B001,5
O001034,5,E014255,B001,5
O001039,45,E008794,B001,5
O001041,19,E014210,B001,5
O001044,4,E001198,B001,3
O001046,29,E010214,B001,3
O001047,40,E003924,B001,5
O001049,37,E002347,B001,5
O001051,5,E009613,B001,5
O001052,9,E000376,B001,1
O001056,45,E009527,B001,5
O001057,23,E000893,B001,5
O001059,19,E005516,B001,5
O001068,11,E011511,B001,5
O001070,1,E010901,B001,1
O001071,5,E002906,B001,5
O001077,47,E009281,B001,2
O001085,21,E010560,B001,5
O001087,47,E002873,B001,1
O001091,13,E007633,B001,3
O001094,48,E007526,B001,4
O001095,6,E014526,B001,3
O001100,31,E006245,B001,5
O001101,30,E002650,B001,5
O001102,23,E001363,B001,5
O001104,10,E010798,B001,5
O001109,20,E008160,B001,5
O001112,39,E001068,B001,5
O001114,18,E008701,B001,5
O001115,6,E007321,B001,5
O001117,37,E004451,B001,5
O001120,39,E012135,B001,5
O001123,16,E008989,B001,5
O001128,5,E001761,B001,5
O001129,48,E000174,B001,5
O001133,1,E002508,B001,1
O001134,33,E005949,B001,3
O001136,3,E006024,B001,5
O001138,1,E003682,B001,5
O001141,37,E006550,B001,5
O001144,8,E006804,B001,5
O001145,36,E000414,B001,5
O001147,23,E010608,B001,5
O001149,2,E000638,B001,5
O001152,30,E002226,B001,5
O001156,6,E014276,B001,5
O001158,5,E012114,B001,5
O001167,24,E007672,B001,5
O001175,8,E011992,B001,5
O001181,48,E012669,B001,4
O001182,30,E014142,B001,5
O001190,15,E013424,B001,5
O001192,22,E013098,B001,5
O001196,33,E013593,B001,5
O001197,49,E009506,B001,5
O001201,14,E005089,B001,5
O001205,26,E012612,B001,1
O001209,15,E003660,B001,5
O001210,27,E003197,B001,2
O001211,21,E005462,B001,5
O001213,32,E011439,B001,5
O001218,44,E013078,B001,5
O001220,34,E008115,B001,1
O001224,3,E006357,B001,5
O001225,48,E003886,B001,5
O001231,29,E005372,B001,5
O001234,9,E005979,B001,5
O001240,1,E009353,B001,5
O001241,21,E014854,B001,5
O001243,48,E013091,B001,3
O001248,42,E000458,B001,4
O001253,1,E014544,B001,5
O001255,15,E006252,B001,5
O001257,6,E008029,B001,5
O001258,31,E003879,B001,5
O001265,13,E003866,B001,5
O001274,33,E010182,B001,3
O001285,39,E010836,B001,5
O001286,48,E008560,B001,4
O001287,8,E006054,B001,5
O001294,11,E007103,B001,5
O001301,32,E000689,B001,5
O001304,15,E000261,B001,5
O001307,32,E013923,B001,5
O001308,1,E013527,B001,5
O001309,27,E007596,B001,5
O001314,41,E003482,B001,5
O001317,35,E006927,B001,3
O001323,9,E004431,B001,5
O001324,18,E003932,B001,5
O001326,9,E002069,B001,3
O001328,22,E000280,B001,2
O001331,36,E009589,B001,3
O001336,26,E003814,B001,5
O001338,11,E004038,B001,5
O001340,21,E006669,B001,2
O001341,5,E013895,B001,3
O001342,31,E011798,B001,5
O001343,41,E013614,B001,4
O001344,5,E010796,B001,5
O001346,27,E003477,B001,5
O001348,33,E008834,B001,5
O001353,30,E010307,B001,5
O001354,20,E014497,B001,3
O001355,8,E000959,B001,5
O001358,27,E001805,B001,5
O001360,23,E014251,B001,5
O001364,31,E013737,B001,5
O001367,2,E011748,B001,5
O001369,26,E013610,B001,5
O001372,22,E009669,B001,5
O001375,14,E012278,B001,5
O001379,11,E002887,B001,5
O001382,18,E013875,B001,5
O001386,31,E004692,B001,3
O001387,47,E005014,B001,5
O001400,40,E004347,B001,2
O001402,12,E014088,B001,1
O001404,38,E004551,B001,5
O001408,23,E013480,B001,5
O001413,37,E002135,B001,5
O001415,23,E001218,B001,5
O001419,12,E004950,B001,5
O001420,29,E007274,B001,5
O001423,7,E004552,B001,5
O001425,32,E005532,B001,4
O001427,48,E007124,B001,5
O001428,26,E003650,B001,5
O001429,30,E009913,B001,5
O001431,3,E002397,B001,5
O001438,18,E005030,B001,5
O001439,5,E013466,B001,5
O001443,29,E007520,B001,5
O001444,26,E008019,B001,5
O001447,39,E009919,B001,2
O001449,8,E009049,B001,2
O001452,6,E013266,B001,5
O001453,49,E014504,B001,5
O001456,26,E008151,B001,1
O001458,19,E010882,B001,4
O001462,46,E001574,B001,3
O001464,25,E004896,B001,5
O001479,40,E013916,B001,5
O001486,46,E005469,B001,3
O001489,1,E000565,B001,3
O001490,15,E007561,B001,5
O001492,45,E008769,B001,5
O001493,36,E014863,B001,5
O001494,39,E003150,B001,5
O001497,5,E010280,B001,5
O001504,3,E013528,B001,5
O001513,2,E008100,B001,3
O001514,28,E001944,B001,5
O001519,48,E007498,B001,5
O001520,44,E001517,B001,5
O001521,34,E007788,B001,5
O001522,24,E014727,B001,5
O001525,8,E008729,B001,5
O001528,15,E014235,B001,5
O001530,17,E002162,B001,5
O001535,11,E012474,B001,5
O001538,4,E010569,B001,5
O001540,3,E000179,B001,5
O001541,7,E007298,B001,5
O001544,32,E008514,B001,2
O001552,31,E002321,B001,5
O001553,14,E009399,B001,5
O001555,40,E011634,B001,5
O001558,29,E005311,B001,1
O001561,46,E001827,B001,5
O001565,45,E001705,B001,5
O001566,38,E013637,B001,5
O001567,39,E008024,B001,4
O001570,46,E003734,B001,5
O001575,34,E011278,B001,5
O001577,31,E009779,B001,5
O001578,12,E000256,B001,5
O001581,3,E000774,B001,5
O001583,1,E003957,B001,5
O001592,16,E000133,B001,3
O001593,41,E001379,B001,5
O001596,50,E011570,B001,5
O001600,3,E009087,B001,5
O001603,47,E004759,B001,2
O001608,20,E000714,B001,5
O001611,24,E008597,B001,1
O001612,47,E008633,B001,5
O001614,41,E008742,B001,3
O001620,11,E014328,B001,2
O001623,37,E002170,B001,5
O001626,10,E000272,B001,5
O001627,43,E011477,B001,1
O001628,13,E010265,B001,5
O001629,12,E009489,B001,5
O001630,15,E009366,B001,5
O001635,40,E006829,B001,5
O001636,38,E014265,B001,2
O001641,2,E002492,B001,5
O001642,17,E014835,B001,5
O001643,35,E008936,B001,4
O001647,21,E008877,B001,5
O001648,14,E014351,B001,5
O001651,4,E010729,B001,5
O001652,39,E000779,B001,5
O001656,30,E004951,B001,5
O001663,5,E011335,B001,1
O001665,37,E012212,B001,2
O001667,7,E008026,B001,4
O001675,39,E011305,B001,5
O001678,23,E000160,B001,3
O001679,25,E004731,B001,2
O001681,32,E013821,B001,1
O001682,20,E005377,B001,5
O001685,35,E008591,B001,2
O001686,39,E002225,B001,5
O001687,18,E002881,B001,5
O001689,6,E003123,B001,5
O001697,45,E001986,B001,5
O001700,18,E006601,B001,5
O001702,50,E006661,B001,1
O001704,33,E006636,B001,5
O001708,40,E007722,B001,2
O001710,34,E008978,B001,5
O001711,24,E002272,B001,5
O001715,8,E006617,B001,3
O001721,3,E003797,B001,5
O001723,48,E003878,B001,3
O001724,16,E013319,B001,5
O001731,40,E011569,B001,5
O001732,15,E013889,B001,5
O001735,43,E006429,B001,3
O001738,45,E011608,B001,5
O001749,26,E002188,B001,1
O001750,16,E008612,B001,3
O001752,23,E005256,B001,5
O001753,45,E008687,B001,5
O001754,13,E014701,B001,5
O001757,39,E010121,B001,5
O001761,1,E012474,B001,1
O001763,13,E014506,B001,5
O001769,10,E014300,B001,5
O001772,39,E001955,B001,5
O001777,26,E007335,B001,5
O001779,25,E010912,B001,4
O001780,47,E008985,B001,5
O001781,8,E002267,B001,5
O001783,28,E009692,B001,5
O001784,14,E010552,B001,5
O001789,27,E004169,B001,3
O001794,2,E000303,B001,1
O001796,17,E014709,B001,5
O001797,46,E013963,B001,5
O001798,33,E001445,B001,1
O001799,4,E008495,B001,5
O001800,19,E014343,B001,5
O001804,37,E008179,B001,5
O001805,11,E007265,B001,2
O001806,2,E011675,B001,5
O001808,3,E006601,B001,5
O001809,30,E001880,B001,4
O001811,43,E004124,B001,5
O001818,16,E002794,B001,4
O001821,44,E010283,B001,5
O001826,42,E005400,B001,5
O001828,40,E007631,B001,5
O001831,2,E003292,B001,5
O001832,38,E001521,B001,5
O001834,35,E010229,B001,5
O001836,11,E007613,B001,5
O001839,43,E007160,B001,4
O001842,49,E003349,B001,5
O001846,21,E013413,B001,1
O001852,19,E014920,B001,5
O001853,21,E014202,B001,4
O001854,33,E010294,B001,5
O001855,30,E000654,B001,5
O001857,28,E006540,B001,3
O001863,40,E000937,B001,5
O001864,12,E008806,B001,5
O001865,6,E011893,B001,5
O001866,21,E005686,B001,5
O001871,3,E007190,B001,5
O001872,6,E006480,B001,5
O001877,8,E011020,B001,5
O001878,47,E001056,B001,3
O001879,17,E000315,B001,5
O001881,42,E003511,B001,5
O001883,7,E001962,B001,5
O001884,19,E004930,B001,1
O001885,3,E002014,B001,4
O001890,45,E011084,B001,5
O001892,40,E013016,B001,1
O001894,34,E000346,B001,5
O001895,47,E002946,B001,5
O001896,9,E009965,B001,5
O001900,48,E010725,B001,5
O001907,39,E005945,B001,5
O001908,47,E008161,B001,4
O001909,16,E002764,B001,5
O001911,36,E014366,B001,5
O001912,25,E000649,B001,4
O001916,21,E006017,B001,5
O001917,44,E011700,B001,2
O001918,24,E008358,B001,5
O001922,28,E002749,B001,1
O001925,8,E012999,B001,5
O001926,21,E012123,B001,5
O001927,5,E007597,B001,2
O001928,12,E013078,B001,2
O001929,48,E002593,B001,5
O001931,9,E009309,B001,5
O001938,19,E014722,B001,5
O001940,18,E011721,B001,5
O001941,20,E002306,B001,5
O001943,31,E003039,B001,5
O001944,18,E010622,B001,5
O001945,9,E011656,B001,5
O001948,13,E014487,B001,5
O001951,49,E008850,B001,5
O001955,40,E013713,B001,4
O001963,49,E011475,B001,5
O001965,7,E008183,B001,5
O001968,30,E009227,B001,1
O001973,33,E005794,B001,5
O001978,29,E007808,B001,5
O001980,47,E002564,B001,5
O001981,14,E000954,B001,1
O001983,18,E000143,B001,1
O001984,3,E005244,B001,1
O001988,10,E011510,B001,5
O001989,41,E000831,B001,5
O001997,48,E003953,B001,4
O002000,48,E003389,B001,5
O002001,32,E003360,B001,1
O002006,28,E002249,B001,3
O002015,6,E009960,B001,5
O002019,40,E000899,B001,5
O002020,38,E001033,B001,1
O002026,47,E004350,B001,5
O002030,43,E009410,B001,1
O002035,38,E006630,B001,5
O002041,19,E004335,B001,5
O002044,1,E007318,B001,1
O002047,48,E013855,B001,3
O002048,44,E010799,B001,5
O002049,26,E014057,B001,5
O002053,3,E000395,B001,5
O002061,6,E006921,B001,5
O002063,29,E013705,B001,5
O002067,19,E002030,B001,5
O002072,6,E003024,B001,5
O002075,23,E009277,B001,5
O002076,40,E014725,B001,5
O002079,1,E007644,B001,5
O002081,20,E005287,B001,5
O002086,46,E004657,B001,5
O002090,10,E005676,B001,5
O002096,42,E005120,B001,5
O002098,40,E012146,B001,3
O002099,14,E003488,B001,5
O002102,42,E002985,B001,5
O002105,31,E007453,B001,5
O002106,11,E010989,B001,5
O002107,6,E013078,B001,4
O002112,10,E003101,B001,5
O002114,31,E012230,B001,5
O002122,17,E001166,B001,4
O002123,27,E012572,B001,5
O002127,35,E004948,B001,5
O002128,34,E013267,B001,1
O002129,11,E001617,B001,5
O002131,1,E004359,B001,5
O002133,3,E013028,B001,5
O002136,19,E005875,B001,5
O002138,2,E009271,B001,5
O002140,9,E006016,B001,5
O002142,33,E000072,B001,1
O002147,23,E000664,B001,5
O002152,22,E011457,B001,5
O002154,29,E010481,B001,1
O002159,10,E007894,B001,5
O002160,22,E004098,B001,5
O002161,40,E006924,B001,5
O002162,38,E000098,B001,2
O002164,45,E010382,B001,5
O002168,13,E011708,B001,5
O002173,43,E012766,B001,5
O002174,21,E014711,B001,5
O002179,28,E002420,B001,3
O002185,33,E009568,B001,5
O002187,44,E002119,B001,5
O002189,18,E005584,B001,5
O002191,26,E013727,B001,5
O002192,42,E012495,B001,3
O002193,21,E010918,B001,5
O002194,41,E013934,B001,4
O002197,16,E000335,B001,5
O002203,48,E010958,B001,5
O002207,25,E008781,B001,5
O002212,6,E010467,B001,5
O002214,36,E013746,B001,2
O002215,12,E009115,B001,3
O002216,37,E014967,B001,1
O002220,40,E001150,B001,5
O002223,6,E011031,B001,5
O002226,7,E010311,B001,5
O002227,42,E010345,B001,2
O002233,34,E013688,B001,5
O002234,13,E007425,B001,5
O002240,8,E014722,B001,5
O002242,33,E014917,B001,5
O002244,3,E009116,B001,5
O002245,40,E000387,B001,2
O002247,26,E008009,B001,2
O002248,4,E007429,B001,3
O002250,32,E009371,B001,5
O002253,24,E006980,B001,5
O002257,33,E011483,B001,5
O002262,35,E000138,B001,5
O002264,3,E005292,B001,3
O002269,25,E014733,B001,2
O002274,49,E012123,B001,1
O002276,9,E010648,B001,5
O002279,33,E001336,B001,5
O002281,40,E008384,B001,5
O002286,2,E005134,B001,5
O002287,25,E004962,B001,5
O002294,42,E002348,B001,3
O002296,50,E012203,B001,2
O002297,12,E014941,B001,3
O002303,30,E001560,B001,5
O002310,9,E008226,B001,5
O002311,15,E011714,B001,5
O002312,49,E005451,B001,1
O002313,14,E012888,B001,5
O002314,3,E012156,B001,5
O002315,9,E011371,B001,4
O002316,3,E011004,B001,5
O002317,28,E007847,B001,2
O002319,12,E001447,B001,2
O002320,18,E009697,B001,5
O002329,29,E013498,B001,5
O002330,46,E000436,B001,5
O002334,1,E008160,B001,3
O002335,18,E010903,B001,5
O002336,17,E001584,B001,2
O002338,3,E000935,B001,2
O002341,33,E002289,B001,5
O002345,46,E009708,B001,5
O002346,21,E001240,B001,5
O002354,41,E006910,B001,5
O002362,47,E009882,B001,3
O002363,24,E010534,B001,4
O002365,37,E002888,B001,5
O002367,49,E000663,B001,5
O002370,13,E011985,B001,2
O002371,44,E005667,B001,1
O002374,44,E000080,B001,2
O002375,37,E006588,B001,4
O002376,10,E012145,B001,5
O002379,12,E012277,B001,5
O002381,50,E007038,B001,5
O002385,14,E011659,B001,5
O002391,38,E012515,B001,2
O002395,8,E000639,B001,5
O002396,27,E014348,B001,5
O002407,33,E012136,B001,5
O002409,12,E007923,B001,4
O002416,30,E003157,B001,5
O002418,49,E003713,B001,5
O002419,22,E009296,B001,5
O002420,9,E004072,B001,5
O002422,4,E014284,B001,5
O002424,39,E014308,B001,5
O002427,31,E012304,B001,2
O002430,36,E008425,B001,5
O002432,36,E001011,B001,5
O002433,47,E004663,B001,1
O002437,12,E008060,B001,5
O002439,18,E002036,B001,3
O002443,25,E007083,B001,5
O002444,4,E004441,B001,5
O002445,3,E014276,B001,5
O002447,50,E005171,B001,2
O002449,47,E012525,B001,3
O002450,16,E008058,B001,5
O002452,38,E009530,B001,5
O002459,48,E008905,B001,5
O002462,38,E004722,B001,5
O002465,11,E008905,B001,5
O002471,48,E001563,B001,5
O002473,41,E008333,B001,4
O002474,2,E003096,B001,3
O002475,42,E002213,B001,5
O002478,8,E009171,B001,5
O002484,5,E002881,B001,5
O002486,46,E013260,B001,5
O002493,29,E002969,B001,5
O002497,36,E006627,B001,5
O002499,36,E013253,B001,5
O002503,28,E012456,B001,5
O002507,21,E003000,B001,5
O002509,48,E007520,B001,5
O002513,28,E009205,B001,5
O002514,20,E009538,B001,4
O002518,48,E014400,B001,5
O002521,34,E001916,B001,5
O002525,8,E008495,B001,5
O002527,45,E012877,B001,2
O002530,10,E012362,B001,5
O002531,11,E000680,B001,5
O002536,44,E004656,B001,4
O002540,17,E013561,B001,5
O002541,46,E005219,B001,5
O002544,35,E011509,B001,5
O002545,16,E011992,B001,5
O002550,37,E001970,B001,1
O002552,48,E007896,B001,5
O002557,14,E011475,B001,5
O002560,33,E008937,B001,5
O002562,20,E007409,B001,4
O002563,18,E000440,B001,4
O002565,31,E009635,B001,5
O002566,35,E008089,B001,1
O002570,25,E013885,B001,3
O002571,21,E008062,B001,5
O002572,35,E007459,B001,5
O002576,7,E002088,B001,5
O002580,47,E001173,B001,5
O002582,42,E009511,B001,5
O002584,25,E006987,B001,5
O002588,15,E006485,B001,3
O002590,24,E013603,B001,5
O002592,17,E012980,B001,4
O002595,7,E001446,B001,5
O002600,14,E006524,B001,5
O002601,45,E002272,B001,5
O002604,7,E004491,B001,4
O002612,20,E000501,B001,5
O002614,6,E000504,B001,5
O002615,14,E001934,B001,1
O002617,47,E008390,B001,5
O002618,29,E008262,B001,2
O002620,41,E004144,B001,5
O002621,12,E012968,B001,5
O002623,31,E007986,B001,5
O002625,10,E010384,B001,5
O002627,39,E007024,B001,5
O002629,46,E000311,B001,5
O002630,13,E010187,B001,5
O002634,28,E004550,B001,5
O002645,45,E006515,B001,5
O002647,48,E008551,B001,2
O002648,1,E006003,B001,4
O002650,29,E009638,B001,5
O002652,23,E014412,B001,2
O002656,41,E004570,B001,5
O002660,17,E005430,B001,5
O002663,41,E004857,B001,4
O002665,33,E002264,B001,5
O002667,50,E012816,B001,5
O002672,39,E003721,B001,5
O002674,38,E013798,B001,5
O002677,14,E010885,B001,5
O002683,41,E014455,B001,2
O002685,16,E006004,B001,5
O002686,14,E005516,B001,5
O002693,1,E004245,B001,5
O002697,41,E001291,B001,5
O002698,6,E001330,B001,5
O002699,14,E010572,B001,4
O002700,27,E002151,B001,1
O002702,30,E007564,B001,5
O002705,45,E014485,B001,5
