DORDER_ID,TIME_DELIVERY,DATE_DELIVERY
O000396,13:06:43,2023-05-06
O000399,11:08:37,2014-12-30
O000400,11:27:52,2024-05-17
O000403,09:26:07,2009-05-14
O000404,10:55:48,2022-06-25
O000405,12:41:29,2014-11-21
O000406,06:41:09,2013-12-16
O000407,14:38:06,2003-04-06
O000408,09:10:27,2022-07-08
O000415,13:39:37,2003-02-14
O000422,17:57:39,2019-10-12
O000425,09:31:04,2024-07-30
O000430,09:39:29,2023-02-11
O000431,10:15:20,2023-09-23
O000433,13:12:04,2024-01-31
O000435,07:26:27,2016-02-25
O000436,07:14:27,2015-07-03
O000441,16:12:25,2008-03-28
O000446,07:33:15,2018-02-10
O000447,08:25:48,2007-10-09
O000449,14:10:32,2010-07-17
O000450,09:15:21,2024-07-11
O000452,07:22:47,2021-07-01
O000456,13:02:53,2017-10-02
O000457,10:11:57,2021-08-20
O000458,07:19:04,2018-12-09
O000459,13:21:55,2016-02-18
O000461,11:59:48,2018-11-08
O000463,12:10:34,2022-10-02
O000466,17:55:53,2005-12-19
O000467,16:51:08,2015-10-01
O000468,18:12:20,2023-12-17
O000470,12:52:45,2023-04-04
O000471,12:21:10,2016-03-09
O000474,06:31:22,2024-11-03
O000476,18:07:02,2017-11-05
O000477,11:57:37,2023-06-11
O000480,13:50:19,2020-02-02
O000482,10:37:25,2024-08-06
O000485,07:13:05,2024-11-14
O000490,09:54:21,2017-11-30
O000491,11:26:42,2008-09-15
O000495,06:41:11,2013-06-22
O000498,18:18:21,2012-06-05
O000506,15:24:39,1999-10-19
O000507,12:04:16,2024-07-12
O000511,17:16:21,2024-12-13
O000518,08:23:15,2016-09-22
O000522,07:48:24,2019-10-16
O000523,16:19:05,2010-08-10
O000528,12:54:50,2019-07-31
O000532,11:23:15,2020-08-24
O000541,17:48:19,2012-11-04
O000542,14:33:47,2019-01-09
O000549,12:50:04,2012-10-27
O000554,12:33:33,2024-06-28
O000560,11:17:48,2024-06-17
O000563,14:16:45,2006-03-30
O000568,06:33:30,2017-06-06
O000571,10:40:08,2011-08-05
O000577,08:32:24,2020-09-06
O000589,17:32:41,2024-09-30
O000592,18:26:43,2024-10-24
O000594,14:50:21,2013-05-05
O000600,10:19:11,2019-03-21
O000601,12:37:12,2012-07-18
O000607,18:50:44,2021-06-12
O000609,12:48:24,2022-12-11
O000612,17:49:28,2023-07-15
O000614,08:47:48,2024-11-26
O000615,14:50:11,2024-08-04
O000619,09:37:31,2023-04-23
O000621,14:58:20,2023-12-12
O000623,08:56:31,2024-04-06
O000626,17:46:18,2023-04-06
O000627,09:09:02,2012-10-08
O000630,13:18:40,2017-09-18
O000632,16:53:57,2016-02-27
O000636,12:13:41,2024-06-15
O000640,18:33:18,2023-08-23
O000648,17:44:59,2021-11-25
O000650,08:48:39,2022-02-16
O000652,11:12:46,2017-07-09
O000654,09:18:27,2024-10-26
O000660,18:42:07,2016-09-10
O000663,17:28:07,2012-02-07
O000665,14:57:02,2017-10-22
O000667,14:42:47,2018-08-28
O000669,17:50:53,2020-10-28
O000673,15:39:05,2022-12-30
O000675,11:20:02,2022-10-16
O000679,12:41:33,2014-06-03
O000681,07:29:27,2019-06-09
O000683,12:19:07,2005-11-30
O000692,18:53:43,2013-05-27
O000693,10:38:36,2023-01-18
O000696,06:40:17,2013-03-27
O000698,17:18:28,2008-08-15
O000702,12:16:56,2024-09-02
O000703,17:09:51,2018-03-05
O000704,09:55:12,2020-09-04
O000714,07:18:35,2001-06-03
O000716,12:38:33,2020-11-12
O000722,09:32:04,2024-06-28
O000723,17:13:09,2011-02-20
O000725,06:35:41,2022-09-30
O000727,10:21:23,2012-04-02
O000731,10:26:18,2020-08-10
O000736,12:05:52,2005-12-14
O000740,16:24:45,2022-01-28
O000747,07:52:31,2015-11-21
O000748,13:31:31,2008-11-14
O000750,17:46:00,2023-04-19
O000751,18:49:40,2024-05-24
O000753,12:52:36,2020-02-16
O000754,18:00:15,2024-02-21
O000757,07:43:52,2015-12-17
O000760,14:10:27,2024-07-30
O000761,12:56:32,2023-11-11
O000763,08:13:38,2015-01-10
O000765,16:16:54,2017-09-14
O000766,16:26:52,1999-12-01
O000767,13:32:51,2018-02-21
O000770,06:52:59,2024-09-11
O000778,15:36:00,2024-11-22
O000791,08:11:31,2021-12-31
O000798,14:36:54,2024-06-27
O000803,16:06:59,2009-11-20
O000804,12:49:57,2024-10-16
O000808,10:07:21,2007-11-05
O000813,13:00:53,2020-11-28
O000815,12:42:17,2018-02-24
O000816,10:31:35,2020-10-08
O000820,18:31:10,2001-02-08
O000823,11:05:23,2016-05-19
O000829,15:54:32,2024-01-05
O000836,16:15:46,2019-03-07
O000839,09:14:25,2017-11-21
O000845,16:51:01,2020-12-01
O000846,16:21:44,2024-06-02
O000847,18:33:03,2012-09-28
O000852,16:19:55,2015-04-18
O000853,16:15:17,2024-12-02
O000855,11:49:50,2024-10-15
O000857,12:22:09,2014-12-01
O000860,07:06:29,2020-03-31
O000862,13:51:07,2020-10-27
O000863,07:38:03,2023-06-25
O000865,18:20:17,2022-03-03
O000866,15:11:08,2017-07-24
O000867,12:10:23,2023-02-09
O000872,09:19:07,2024-10-07
O000876,14:41:02,2017-06-24
O000877,13:05:37,2021-09-07
O000883,13:11:52,2024-12-13
O000888,08:17:16,2019-06-04
O000889,14:51:37,2019-05-16
O000891,12:04:29,2012-06-28
O000894,08:05:29,2005-04-12
O000903,16:43:49,2023-08-07
O000905,10:44:15,2024-08-25
O000906,16:32:20,2001-08-07
O000907,12:38:08,2021-09-15
O000908,09:37:16,2023-05-15
O000910,14:08:58,2013-08-28
O000912,11:43:54,2021-11-07
O000915,15:27:07,2024-12-04
O000916,17:13:01,2024-10-28
O000920,09:47:15,2015-12-09
O000926,16:26:40,2015-06-02
O000928,14:20:55,2013-03-11
O000930,09:08:59,2013-06-23
O000935,11:13:28,2024-09-16
O000936,18:43:47,2022-11-12
O000937,08:09:36,2021-05-27
O000940,10:50:02,2023-08-14
O000942,13:23:45,2021-04-14
O000943,13:12:16,2007-09-21
O000947,07:21:10,2018-05-10
O000951,06:32:36,2007-12-30
O000953,08:10:18,2021-12-02
O000954,18:43:40,2024-02-08
O000955,18:50:02,2020-05-21
O000961,12:11:40,2021-11-07
O000962,17:48:02,2022-12-01
O000969,12:39:52,2024-01-31
O000970,08:55:20,2019-04-29
O000973,17:49:53,2003-05-02
O000974,10:56:42,2018-03-16
O000975,18:10:11,2023-03-17
O000980,11:54:23,2009-05-21
O000986,13:31:51,2023-03-03
O000988,17:23:27,2013-03-04
O000994,17:23:52,2019-01-16
O000998,07:36:24,2022-05-29
O001002,14:35:17,2023-01-17
O001003,16:20:28,2021-05-07
O001008,09:17:09,2023-02-12
O001013,10:17:38,2023-02-01
O001014,09:12:36,2003-04-11
O001016,17:50:38,2023-07-04
O001018,11:22:32,2024-06-09
O001021,17:25:29,2021-03-05
O001024,16:29:26,2019-05-22
O001025,17:24:06,2021-04-12
O001026,07:29:48,2024-10-16
O001032,16:57:41,2016-02-13
O001033,10:18:15,2019-06-24
O001036,17:38:59,2019-07-30
O001045,15:40:52,2021-03-31
O001050,12:06:42,2016-11-01
O001055,18:08:48,2019-10-23
O001061,16:54:03,2009-06-25
O001064,15:50:16,2018-12-16
O001066,18:15:29,2022-10-19
O001067,18:32:03,2022-08-22
O001069,18:10:23,2024-08-26
O001074,12:43:45,2011-05-05
O001075,14:53:48,2018-08-22
O001078,17:31:43,2007-05-25
O001083,18:40:28,2021-11-26
O001086,07:47:48,2024-08-13
O001088,09:52:23,2022-06-17
O001092,09:21:30,2018-06-18
O001098,14:36:50,2024-01-05
O001099,07:38:07,1998-11-26
O001106,12:26:19,2012-02-24
O001108,13:28:32,2009-03-27
O001110,16:51:57,2020-07-19
O001111,07:04:43,2024-05-24
O001116,11:08:10,2012-12-31
O001118,16:37:01,2015-08-05
O001121,16:39:10,2021-09-18
O001124,09:03:39,2024-12-21
O001125,14:14:12,2023-03-08
O001126,09:11:46,2015-11-03
O001130,08:56:33,2024-12-11
O001131,11:39:54,2018-12-23
O001137,14:35:27,2021-04-02
O001139,17:09:31,2017-04-15
O001146,08:05:25,2019-02-17
O001148,16:06:30,2024-09-29
O001150,11:41:49,2016-08-12
O001153,14:05:59,2010-10-11
O001154,14:32:10,2023-11-04
O001166,12:46:28,2023-12-29
O001169,11:14:12,2022-03-13
O001170,16:29:20,2019-02-06
O001171,16:58:44,2022-04-19
O001173,17:14:21,2020-10-16
O001174,12:31:44,2015-03-11
O001177,14:31:32,2015-11-02
O001179,10:03:17,2021-07-12
O001183,13:16:58,2015-11-23
O001184,18:15:57,2023-08-15
O001186,15:00:03,2024-08-29
O001188,17:55:53,2023-01-01
O001193,08:38:50,2022-02-19
O001194,07:14:18,2024-07-06
O001195,09:41:53,2020-09-02
O001199,08:38:25,2012-03-23
O001204,11:21:55,2021-05-13
O001206,12:23:45,2023-11-28
O001208,16:54:31,2023-08-25
O001214,06:52:17,2009-06-24
O001215,09:26:55,2010-08-18
O001216,11:44:05,2024-11-14
O001217,07:55:15,2005-01-08
O001221,17:32:04,2012-02-22
O001226,11:13:14,2010-11-28
O001227,18:08:36,2012-10-18
O001228,18:07:35,2022-12-06
O001232,06:40:27,2016-04-06
O001236,17:03:16,2020-07-15
O001237,14:44:35,2024-11-01
O001245,18:27:33,2013-10-27
O001246,12:15:31,2014-09-18
O001249,17:18:56,2017-01-09
O001251,10:09:51,2023-07-02
O001252,17:26:54,2023-04-07
O001256,09:49:11,2015-08-19
O001259,16:49:31,2015-01-24
O001263,15:16:23,2023-10-02
O001266,18:54:05,2020-04-07
O001270,15:16:28,2001-07-23
O001272,09:15:50,2024-07-28
O001275,14:51:02,2008-04-18
O001277,16:33:14,2022-01-31
O001278,17:10:49,2015-03-25
O001279,17:50:00,2023-06-28
O001280,17:30:22,2012-03-21
O001281,16:42:33,2020-11-17
O001282,09:31:51,2024-03-23
O001283,07:45:15,2022-12-15
O001284,15:23:26,2011-07-06
O001288,10:36:05,2024-05-06
O001289,16:46:44,2024-01-08
O001291,11:03:10,2020-01-11
O001298,09:33:56,2010-07-24
O001299,15:59:12,2000-10-12
O001300,17:07:29,2022-10-23
O001302,17:29:42,2024-04-04
O001303,12:09:34,2019-06-21
O001310,13:14:20,2022-12-01
O001311,13:24:34,2000-02-19
O001312,14:10:05,2008-09-15
O001313,07:45:26,2015-02-23
O001315,15:42:37,2021-10-10
O001319,12:06:54,2016-05-20
O001320,11:01:00,2006-12-07
O001321,14:44:06,2024-10-12
O001322,13:07:44,2018-05-20
O001325,14:26:12,2017-03-10
O001329,10:09:04,2017-01-23
O001330,12:31:19,2024-10-26
O001333,09:25:54,2009-08-21
O001334,14:59:13,2008-02-22
O001337,18:04:51,2024-08-26
O001339,12:09:19,2009-03-01
O001347,07:41:23,2021-11-03
O001350,16:45:35,2008-10-25
O001356,16:47:24,2022-01-16
O001357,10:30:18,2016-01-10
O001361,12:27:00,2024-10-28
O001365,07:09:10,2019-08-18
O001373,15:40:56,2021-08-13
O001374,09:48:17,2024-04-18
O001376,07:21:17,2016-12-18
O001377,15:41:59,2024-02-09
O001378,11:45:48,2016-08-06
O001381,18:01:40,2024-09-29
O001383,15:58:23,2008-03-17
O001384,14:12:16,2015-11-05
O001390,16:34:20,2022-10-20
O001392,08:32:05,2021-11-11
O001396,18:45:47,2018-12-08
O001403,16:10:31,2013-07-27
O001414,17:00:54,2024-12-17
O001416,14:06:49,2022-03-14
O001417,07:56:15,2020-08-30
O001424,17:29:39,2010-02-20
O001430,09:15:25,2024-10-23
O001432,15:39:34,2023-01-14
O001434,11:52:27,2021-05-21
O001435,12:23:23,2024-10-20
O001436,18:27:45,2011-05-19
O001440,14:39:45,2005-06-27
O001445,09:47:01,2020-06-22
O001446,11:13:28,2024-10-24
O001450,16:15:29,2021-11-25
O001454,09:24:51,2023-05-15
O001455,08:15:39,2007-01-27
O001457,16:09:26,2019-05-06
O001459,06:56:37,2019-05-11
O001460,17:16:28,2024-03-30
O001461,11:15:30,2008-07-25
O001465,16:27:51,2019-08-23
O001468,17:39:10,2018-08-17
O001471,17:18:06,2024-08-02
O001472,13:14:58,2023-12-12
O001474,16:28:11,2015-03-24
O001475,10:10:38,2024-06-25
O001477,09:56:11,2019-07-23
O001478,18:37:31,2019-07-07
O001485,17:30:59,2022-05-11
O001491,10:14:28,2011-10-29
O001495,16:50:33,2016-03-04
O001496,13:14:15,2020-01-10
O001498,13:20:26,2017-08-31
O001499,11:07:08,2020-06-04
O001500,10:11:48,2019-07-03
O001501,11:03:40,2020-01-22
O001502,18:41:12,2014-05-12
O001503,11:33:18,2005-01-16
O001506,17:31:24,2022-10-14
O001508,17:25:59,2021-07-03
O001509,13:58:40,2013-03-07
O001511,17:00:25,2023-09-27
O001512,12:05:41,2022-04-24
O001515,17:30:33,2022-02-16
O001517,17:23:38,2021-09-17
O001518,11:14:04,2008-12-01
O001523,08:04:13,2020-10-03
O001524,18:02:03,2024-06-13
O001527,12:29:49,2010-07-16
O001531,18:06:37,2020-09-03
O001533,14:30:15,2016-03-07
O001536,07:09:34,2024-03-03
O001537,16:59:55,2024-05-10
O001539,11:59:22,2016-09-29
O001543,16:04:27,2014-02-13
O001546,08:16:07,2024-11-19
O001547,11:17:01,2009-05-23
O001554,18:36:44,2022-08-26
O001556,17:41:35,2019-02-02
O001563,13:14:26,2009-06-23
O001564,12:08:47,2003-05-17
O001568,11:00:40,2024-03-11
O001572,17:40:34,2011-12-26
O001576,14:59:28,2016-03-31
O001579,12:52:50,2022-08-09
O001580,12:55:30,2018-12-26
O001586,13:32:52,2019-07-21
O001587,16:28:48,2012-11-01
O001588,11:55:42,2024-04-26
O001589,17:52:27,2020-02-17
O001594,18:05:39,2021-05-30
O001595,13:49:43,2019-09-10
O001597,09:43:06,2022-03-29
O001598,16:40:51,2021-06-02
O001602,12:35:24,2023-01-19
O001606,08:14:58,2012-01-24
O001609,18:38:56,2007-06-10
O001610,12:39:06,2024-11-13
O001615,18:51:04,2022-03-18
O001616,09:43:01,2010-06-19
O001621,16:47:19,2021-03-28
O001622,10:03:03,2024-02-24
O001624,13:25:35,2014-08-11
O001625,18:38:14,2024-06-07
O001633,13:30:15,2017-11-16
O001634,12:52:12,2023-12-17
O001637,16:16:42,2021-12-10
O001639,09:08:00,2022-04-03
O001640,08:26:00,2024-08-26
O001644,10:50:20,2021-04-25
O001645,13:41:45,2022-11-21
O001646,11:48:17,2022-04-16
O001650,15:55:26,2018-09-12
O001655,07:34:09,2012-12-29
O001657,13:47:33,2022-07-07
O001659,08:25:25,2022-11-02
O001664,09:31:54,2019-07-27
O001668,07:35:23,2019-09-06
O001671,09:50:50,2018-12-12
O001674,09:37:22,2024-01-10
O001676,18:57:40,2019-09-03
O001677,14:14:08,2022-12-24
O001680,16:46:05,2020-07-30
O001683,13:18:16,2024-11-16
O001684,11:07:39,2023-10-15
O001692,09:44:30,2024-03-06
O001694,14:43:57,2020-09-15
O001698,08:27:36,2018-12-30
O001705,13:53:00,2014-03-06
O001706,10:00:43,2010-12-09
O001712,12:44:52,2011-02-14
O001713,15:25:50,2022-05-14
O001714,14:48:00,2011-10-07
O001716,18:13:50,2024-02-24
O001717,16:27:26,2018-10-29
O001718,18:26:10,2022-06-18
O001725,13:11:13,2011-12-14
O001728,08:21:16,2020-12-12
O001730,08:59:46,2016-03-24
O001733,08:11:43,2013-03-17
O001734,10:18:41,2023-04-09
O001739,18:15:15,2014-07-15
O001741,16:24:37,2019-04-18
O001742,16:34:00,2015-09-30
O001743,14:40:48,2023-04-22
O001745,17:00:57,2018-11-22
O001747,11:40:02,2007-05-06
O001748,16:01:40,2023-10-08
O001751,17:38:25,2022-02-03
O001755,16:24:17,2020-08-13
O001759,11:04:25,2024-10-15
O001760,10:15:16,2019-11-21
O001764,09:54:01,1999-05-19
O001767,08:34:28,2016-11-12
O001768,16:29:24,2024-02-20
O001774,17:09:19,2021-05-01
O001776,09:03:51,2024-06-20
O001778,15:28:05,2024-07-02
O001786,14:10:50,2021-07-12
O001787,09:01:42,2020-02-12
O001792,14:26:43,2018-02-02
O001807,11:17:53,2024-12-02
O001813,18:38:49,2021-05-02
O001814,17:49:50,2023-10-15
O001816,13:25:32,2021-09-27
O001819,18:23:08,2021-05-10
O001820,08:47:28,2024-07-24
O001822,08:22:45,2014-12-20
O001825,10:44:47,2023-04-05
O001827,17:44:47,2020-09-24
O001829,11:47:21,2024-12-11
O001833,13:55:49,2012-09-24
O001835,16:17:45,2017-05-04
O001841,17:51:17,2023-07-08
O001847,18:41:23,2012-07-26
O001850,18:31:17,2022-01-11
O001851,13:22:48,2007-04-13
O001859,18:34:56,2022-02-11
O001873,09:00:39,2019-11-15
O001874,17:06:09,2021-04-02
O001875,13:53:07,2024-04-10
O001876,16:19:27,2014-10-30
O001888,12:23:18,2020-09-02
O001889,12:20:17,2021-02-12
O001891,16:37:03,2023-04-06
O001897,06:32:03,2022-08-09
O001898,07:20:56,2024-04-21
O001899,12:44:15,2015-11-30
O001901,06:51:51,2014-09-08
O001903,08:51:15,2013-02-27
O001904,18:58:50,2013-10-17
O001905,15:23:02,2023-08-25
O001906,12:32:11,2014-10-26
O001910,06:59:23,2024-02-11
O001914,11:12:27,2004-03-13
O001915,15:55:18,2022-09-22
O001937,14:25:15,2019-02-22
O001939,15:09:53,2024-06-22
O001942,09:02:25,2016-07-13
O001946,12:44:00,2008-06-18
O001947,07:13:35,2024-02-12
O001950,08:27:38,2023-06-15
O001954,09:18:17,2021-04-08
O001956,13:08:20,2008-02-16
O001957,08:54:23,2022-02-22
O001964,13:44:58,2024-05-20
O001966,08:22:32,2014-02-08
O001967,09:24:12,2003-12-28
O001969,17:14:26,2019-09-14
O001974,14:15:51,2016-05-16
O001975,13:26:31,2006-10-21
O001977,18:02:37,2002-09-27
O001982,13:48:32,2015-06-19
O001985,12:01:07,2021-02-06
O001986,16:25:50,2022-10-28
O001987,12:01:33,2021-10-10
O001993,13:14:16,2024-12-02
O001995,14:11:42,2022-12-19
O001996,13:52:17,2024-12-04
O001998,09:35:53,2023-09-09
O002002,07:59:36,2022-07-01
O002008,06:39:47,2020-12-17
O002009,17:43:57,2022-04-14
O002010,11:52:47,2010-07-30
O002012,13:13:30,2005-05-27
O002013,10:06:05,2016-06-19
O002014,09:36:29,2023-10-06
O002016,17:49:09,2021-07-24
O002021,17:03:08,2011-12-20
O002022,13:02:09,2023-06-24
O002023,17:27:01,2017-07-20
O002025,13:15:17,2020-02-13
O002027,09:21:59,2024-12-07
O002028,16:25:35,2024-09-13
O002029,08:21:21,2015-11-30
O002032,12:03:27,2012-10-31
O002034,06:38:47,2022-06-16
O002038,16:05:21,2017-07-08
O002039,09:52:42,2020-02-14
O002040,16:22:21,2024-09-15
O002043,15:57:01,2007-05-26
O002050,13:58:20,2012-10-22
O002052,12:27:38,2007-05-09
O002054,18:01:31,2004-09-23
O002057,18:41:50,2023-05-06
O002058,08:54:12,2023-04-15
O002059,12:31:26,2022-12-23
O002062,11:37:49,2016-04-27
O002065,17:09:02,2010-05-15
O002066,18:17:32,2023-11-23
O002074,16:08:10,2020-05-26
O002078,11:20:06,2003-05-08
O002084,18:28:04,2006-04-27
O002085,07:28:40,2024-09-20
O002091,06:39:06,2003-04-28
O002092,17:18:48,2015-08-02
O002093,17:44:55,2015-09-21
O002094,11:49:41,2020-07-08
O002097,17:01:00,2020-06-25
O002100,11:06:30,2023-05-24
O002103,14:05:46,2021-08-19
O002108,13:48:31,2020-07-16
O002110,11:24:34,2013-01-02
O002115,10:37:39,2022-03-18
O002116,17:03:17,2011-11-19
O002120,12:56:58,2021-08-24
O002121,07:43:50,2012-02-23
O002124,07:24:27,2022-01-10
O002126,12:36:21,2024-11-17
O002130,14:11:48,1998-05-15
O002132,08:21:02,2022-04-04
O002135,10:23:18,2019-01-16
O002137,13:40:35,2020-04-15
O002139,10:17:00,2020-06-12
O002141,18:49:12,2017-02-25
O002145,06:57:46,2013-02-07
O002149,12:39:41,2015-05-11
O002153,14:38:42,2021-12-22
O002155,08:10:34,2022-09-18
O002156,15:03:32,2015-07-17
O002158,12:33:55,2012-02-16
O002170,10:54:07,2011-01-07
O002171,17:15:33,2024-11-14
O002175,15:56:36,2023-12-22
O002176,17:32:11,2011-05-04
O002180,13:19:46,2022-07-12
O002182,12:07:27,2022-01-25
O002196,08:17:00,2021-12-21
O002198,10:59:54,2016-08-20
O002202,11:43:13,2019-11-04
O002205,16:19:30,2023-01-04
O002206,14:37:36,2024-02-10
O002213,11:15:38,2011-09-14
O002231,11:05:50,2024-05-18
O002235,09:20:40,2015-02-26
O002239,09:34:45,2021-02-14
O002246,15:28:09,2023-06-07
O002252,14:25:20,2023-11-05
O002254,11:42:09,2023-08-05
O002258,07:17:39,2014-01-30
O002260,09:25:02,2022-01-22
O002261,17:52:24,2023-10-14
O002263,18:15:41,2023-07-08
O002268,16:00:22,2019-12-28
O002270,11:02:22,2023-09-08
O002271,13:16:23,2016-10-01
O002272,15:21:40,2012-05-15
O002273,16:14:35,2017-03-25
O002275,11:34:39,2020-02-06
O002278,07:38:41,2022-11-28
O002280,08:22:16,2023-02-09
O002283,11:48:09,2023-08-03
O002285,06:42:40,2022-06-24
O002288,18:04:18,2023-05-01
O002293,12:42:39,2024-07-01
O002302,16:55:10,2019-07-11
O002304,10:38:08,2023-11-14
O002306,13:05:30,2011-11-13
O002307,12:15:06,2021-11-06
O002309,11:39:38,2009-08-13
O002321,16:28:26,2019-04-28
O002324,18:42:10,2004-12-08
O002327,06:59:59,2024-10-09
O002328,13:29:41,2005-05-21
O002333,18:49:49,2024-01-18
O002342,17:11:42,2024-08-05
O002343,12:36:07,2024-08-20
O002344,18:35:25,2015-04-13
O002347,17:50:29,2005-09-19
O002350,12:00:35,2023-04-22
O002351,07:07:04,2023-10-28
O002352,11:42:57,2017-05-10
O002353,08:32:20,2024-09-22
O002355,07:29:53,2024-07-26
O002356,17:22:01,2015-05-30
O002357,09:19:30,2016-04-24
O002358,18:58:43,2023-08-28
O002364,09:29:15,2021-07-10
O002366,10:54:30,2014-12-03
O002369,09:54:02,2022-07-05
O002377,14:57:50,2018-12-12
O002382,12:01:34,2017-02-17
O002383,06:48:17,2010-12-11
O002386,12:01:31,2010-01-03
O002387,11:49:41,2015-10-05
O002389,14:56:42,2024-05-29
O002393,16:03:13,2021-10-31
O002397,08:17:54,2023-12-31
O002400,09:36:11,2022-06-18
O002401,10:49:09,2011-03-14
O002402,14:49:38,2024-11-03
O002404,07:51:26,2023-07-29
O002408,17:20:02,2014-10-01
O002412,10:28:37,2010-02-21
O002415,11:03:50,2012-07-04
O002421,08:14:21,2021-07-06
O002423,07:56:19,2023-08-17
O002425,14:46:13,2020-06-06
O002426,17:26:06,2013-12-07
O002428,14:18:14,2024-01-18
O002429,15:01:38,2020-07-23
O002440,10:19:04,2024-01-26
O002441,12:08:00,2021-04-20
O002442,08:46:37,2022-04-24
O002446,14:19:13,2022-10-06
O002448,11:20:52,2018-07-11
O002451,18:47:40,2008-11-02
O002456,07:08:31,2015-02-02
O002460,11:33:15,2012-09-09
O002464,09:47:24,2022-01-26
O002466,07:04:49,2020-12-20
O002468,11:23:47,2023-05-03
O002470,17:39:59,2006-05-27
O002487,13:07:08,2018-04-30
O002488,13:16:00,2022-10-13
O002489,07:27:01,2009-03-05
O002490,16:40:22,2024-12-04
O002492,17:22:40,2015-06-29
O002498,14:26:42,2002-08-12
O002501,07:46:11,2017-08-31
O002502,18:19:58,2024-04-15
O002504,15:00:41,2016-09-03
O002505,07:38:24,2024-02-22
O002506,09:31:26,2024-07-26
