ORDER_ID,DISH_ID,QUANTITY
O000720,D125,1
O000721,D033,9
O000722,D063,5
O000723,D011,7
O000724,D056,10
O000725,D014,2
O000726,D109,1
O000727,D191,9
O000728,D115,5
O000729,D107,4
O000730,D132,10
O000731,D139,10
O000732,D127,5
O000733,D197,6
O000734,D037,4
O000735,D102,5
O000736,D143,1
O000737,D182,6
O000738,D128,1
O000739,D172,8
O000740,D099,7
O000741,D185,2
O000742,D125,1
O000743,D077,5
O000744,D160,10
O000745,D117,9
O000746,D070,9
O000747,D153,8
O000748,D088,10
O000749,D191,8
O000750,D191,5
O000751,D018,1
O000752,D040,8
O000753,D152,2
O000754,D169,2
O000755,D169,9
O000756,D095,1
O000757,D018,3
O000758,D185,1
O000759,D133,5
O000760,D114,7
O000761,D069,3
O000762,D184,2
O000763,D125,7
O000764,D111,9
O000765,D053,1
O000766,D040,2
O000767,D179,7
O000768,D081,3
O000769,D192,5
O000770,D100,6
O000771,D037,5
O000772,D166,10
O000773,D071,2
O000774,D021,3
O000775,D029,5
O000776,D135,10
O000777,D056,8
O000778,D117,8
O000779,D032,8
O000780,D085,3
O000781,D178,6
O000782,D029,2
O000783,D050,5
O000784,D050,8
O000785,D139,2
O000786,D072,2
O000787,D139,1
O000788,D111,1
O000789,D170,6
O000790,D063,7
O000791,D109,9
O000792,D009,6
O000793,D033,10
O000794,D003,9
O000795,D167,3
O000796,D173,3
O000797,D161,10
O000798,D195,4
O000799,D041,4
O000800,D044,10
O000801,D185,1
O000802,D037,9
O000803,D057,9
O000804,D063,7
O000805,D179,4
O000806,D018,6
O000807,D178,3
O000808,D168,6
O000809,D082,10
O000810,D071,5
O000811,D002,8
O000812,D197,9
O000813,D186,2
O000814,D118,6
O000815,D065,10
O000816,D019,7
O000817,D185,7
O000818,D117,10
O000819,D169,1
O000820,D138,8
O000821,D110,10
O000822,D085,5
O000823,D153,9
O000824,D169,9
O000825,D102,5
O000826,D147,10
O000827,D037,7
O000828,D074,9
O000829,D196,4
O000830,D162,3
O000831,D116,4
O000832,D131,2
O000833,D030,9
O000834,D066,5
O000835,D075,6
O000836,D061,1
O000837,D166,7
O000838,D105,8
O000839,D120,8
O000840,D116,8
O000841,D107,10
O000842,D024,1
O000843,D144,4
O000844,D199,5
O000845,D018,7
O000846,D013,7
O000847,D160,4
O000848,D161,8
O000849,D017,6
O000850,D058,1
O000851,D115,8
O000852,D193,4
O000853,D194,6
O000854,D177,4
O000855,D147,8
O000856,D081,8
O000857,D033,9
O000858,D147,8
O000859,D046,10
O000860,D063,4
O000861,D022,2
O000862,D187,7
O000863,D063,5
O000864,D074,6
O000865,D050,10
O000866,D109,7
O000867,D136,8
O000868,D185,8
O000869,D153,8
O000870,D146,1
O000871,D186,8
O000872,D073,3
O000873,D093,1
O000874,D042,7
O000875,D157,7
O000876,D196,1
O000877,D061,8
O000878,D014,6
O000879,D153,2
O000880,D009,3
O000881,D191,8
O000882,D141,9
O000883,D170,4
O000884,D024,8
O000885,D053,2
O000886,D127,9
O000887,D161,2
O000888,D058,5
O000889,D037,7
O000890,D111,10
O000891,D190,3
O000892,D095,8
O000893,D178,1
O000894,D072,5
O000895,D112,5
O000896,D092,3
O000897,D157,10
O000898,D138,6
O000899,D016,8
O000900,D153,5
O000901,D183,8
O000902,D097,4
O000903,D013,7
O000904,D005,6
O000905,D057,2
O000906,D062,8
O000907,D015,5
O000908,D080,10
O000909,D100,10
O000910,D040,9
O000911,D152,5
O000912,D190,10
O000913,D120,3
O000914,D057,8
O000915,D144,6
O000916,D035,10
O000917,D058,7
O000918,D057,7
O000919,D160,3
O000920,D132,9
O000921,D095,8
O000922,D017,4
O000923,D135,2
O000924,D126,5
O000925,D007,3
O000926,D116,9
O000927,D073,6
O000928,D009,9
O000929,D062,2
O000930,D155,8
O000931,D053,7
O000932,D044,9
O000933,D020,6
O000934,D009,8
O000935,D146,5
O000936,D138,9
O000937,D029,1
O000938,D167,2
O000939,D148,1
O000940,D042,1
O000941,D100,6
O000942,D107,5
O000943,D136,2
O000944,D161,10
O000945,D148,4
O000946,D186,8
O000947,D180,7
O000948,D041,4
O000949,D183,1
O000950,D040,4
O000951,D058,1
O000952,D141,3
O000953,D111,7
O000954,D112,9
O000955,D105,10
O000956,D156,3
O000957,D130,4
O000958,D136,7
O000959,D151,9
O000960,D175,3
O000961,D167,3
O000962,D106,10
O000963,D104,10
O000964,D082,8
O000965,D163,3
O000966,D168,1
O000967,D104,3
O000968,D185,6
O000969,D024,4
O000970,D109,8
O000971,D198,10
O000972,D142,8
O000973,D146,4
O000974,D080,4
O000975,D064,3
O000976,D106,5
O000977,D023,4
O000978,D010,9
O000979,D185,2
O000980,D132,7
O000981,D093,8
O000982,D001,6
O000983,D035,3
O000984,D029,5
O000985,D037,2
O000986,D004,7
O000987,D190,2
O000988,D182,4
O000989,D109,8
O000990,D148,10
O000991,D035,1
O000992,D120,5
O000993,D130,1
O000994,D140,10
O000995,D105,1
O000996,D136,5
O000997,D097,3
O000998,D195,5
O000999,D027,1
O001000,D093,8
O001001,D183,1
O001002,D050,3
O001003,D040,2
O001004,D022,3
O001005,D180,7
O001006,D038,7
O001007,D099,3
O001008,D184,2
O001009,D103,5
O001010,D151,10
O001011,D022,4
O001012,D160,6
O001013,D044,5
O001014,D061,7
O001015,D005,1
O001016,D112,1
O001017,D108,1
O001018,D152,4
O001019,D095,1
O001020,D130,10
O001021,D025,7
O001022,D174,4
O001023,D115,2
O001024,D169,4
O001025,D046,5
O001026,D108,8
O001027,D075,4
O001028,D111,7
O001029,D062,8
O001030,D109,5
O001031,D044,7
O001032,D100,9
O001033,D169,1
O001034,D169,9
O001035,D199,6
O001036,D094,4
O001037,D072,3
O001038,D140,8
O001039,D175,2
O001040,D120,3
O001041,D134,8
O001042,D009,5
O001043,D059,5
O001044,D100,4
O001045,D045,7
O001046,D020,8
O001047,D168,5
O001048,D044,9
O001049,D196,8
O001050,D001,4
O001051,D111,2
O001052,D001,1
O001053,D071,2
O001054,D101,9
O001055,D082,9
O001056,D120,8
O001057,D134,5
O001058,D090,10
O001059,D182,10
O001060,D009,8
O001061,D065,10
O001062,D177,4
O001063,D061,2
O001064,D078,2
O001065,D039,4
O001066,D089,9
O001067,D129,8
O001068,D036,4
O001069,D193,3
O001070,D103,2
O001071,D141,4
O001072,D036,3
O001073,D054,6
O001074,D099,5
O001075,D170,2
O001076,D035,7
O001077,D004,7
O001078,D152,6
O001079,D120,9
O001080,D195,8
O001081,D109,10
O001082,D116,6
O001083,D148,1
O001084,D075,10
O001085,D138,3
O001086,D120,3
O001087,D087,1
O001088,D097,9
O001089,D009,2
O001090,D183,9
O001091,D054,10
O001092,D037,6
O001093,D145,10
O001094,D167,8
O001095,D072,4
O001096,D167,2
O001097,D081,9
O001098,D185,3
O001099,D156,3
O001100,D167,4
O001101,D088,10
O001102,D089,8
O001103,D183,7
O001104,D148,5
O001105,D162,2
O001106,D114,8
O001107,D058,1
O001108,D024,5
O001109,D020,10
O001110,D105,1
O001111,D075,4
O001112,D061,1
O001113,D134,7
O001114,D040,8
O001115,D036,8
O001116,D091,2
O001117,D166,3
O001118,D017,8
O001119,D104,4
O001120,D002,10
O001121,D007,6
O001122,D033,10
O001123,D173,9
O001124,D029,7
O001125,D071,3
O001126,D139,6
O001127,D114,5
O001128,D109,1
O001129,D065,10
O001130,D050,5
O001131,D068,9
O001132,D191,2
O001133,D080,10
O001134,D190,5
O001135,D019,7
O001136,D086,4
O001137,D146,7
O001138,D024,2
O001139,D125,1
O001140,D140,7
O001141,D172,9
O001142,D068,6
O001143,D160,5
O001144,D023,8
O001145,D158,2
O001146,D114,8
O001147,D006,3
O001148,D011,4
O001149,D134,1
O001150,D070,3
O001151,D120,10
O001152,D177,10
O001153,D025,7
O001154,D027,9
O001155,D153,9
O001156,D090,6
O001157,D015,9
O001158,D050,2
O001159,D001,3
O001160,D032,7
O001161,D024,5
O001162,D069,10
O001163,D136,2
O001164,D104,8
O001165,D027,7
O001166,D066,7
O001167,D116,10
O001168,D125,4
O001169,D030,8
O001170,D181,5
O001171,D172,9
O001172,D084,9
O001173,D167,2
O001174,D090,2
O001175,D085,10
O001176,D080,9
O001177,D184,4
O001178,D017,2
O001179,D134,6
O001180,D127,8
O001181,D153,1
O001182,D165,1
O001183,D047,2
O001184,D172,10
O001185,D027,6
O001186,D013,6
O001187,D084,10
O001188,D149,4
O001189,D087,10
O001190,D175,8
O001191,D009,3
O001192,D077,10
O001193,D145,5
O001194,D056,2
O001195,D116,1
O001196,D051,9
O001197,D006,9
O001198,D127,1
O001199,D059,10
O001200,D059,4
O001201,D018,2
O001202,D003,8
O001203,D152,3
O001204,D168,4
O001205,D138,10
O001206,D037,6
O001207,D131,5
O001208,D105,4
O001209,D093,1
O001210,D094,6
O001211,D139,5
O001212,D040,5
O001213,D178,3
O001214,D022,6
O001215,D188,3
O001216,D131,3
O001217,D081,1
O001218,D178,8
O001219,D184,5
O001220,D027,9
O001221,D082,3
O001222,D086,6
O001223,D152,10
O001224,D099,5
O001225,D186,9
O001226,D151,4
O001227,D113,9
O001228,D053,4
O001229,D110,9
O001230,D058,1
O001231,D172,1
O001232,D191,7
O001233,D076,2
O001234,D082,6
O001235,D135,3
O001236,D184,6
O001237,D177,6
O001238,D146,10
O001239,D102,3
O001240,D072,10
O001241,D126,7
O001242,D045,2
O001243,D168,4
O001244,D069,1
O001245,D127,5
O001246,D145,5
O001247,D033,6
O001248,D047,6
O001249,D073,2
O001250,D145,7
O001251,D050,3
O001252,D111,5
O001253,D149,10
O001254,D099,1
O001255,D177,6
O001256,D058,7
O001257,D169,3
O001258,D183,1
O001259,D153,5
O001260,D102,4
O001261,D198,10
O001262,D127,9
O001263,D100,10
O001264,D044,5
O001265,D097,8
O001266,D032,10
O001267,D056,10
O001268,D197,9
O001269,D159,4
O001270,D175,5
O001271,D180,8
O001272,D067,8
O001273,D186,8
O001274,D038,7
O001275,D001,1
O001276,D163,5
O001277,D098,2
O001278,D114,1
O001279,D012,6
O001280,D182,1
O001281,D022,4
O001282,D089,2
O001283,D007,2
O001284,D087,4
O001285,D153,7
O001286,D055,7
O001287,D143,9
O001288,D057,6
O001289,D169,10
O001290,D130,1
O001291,D102,7
O001292,D042,10
O001293,D177,3
O001294,D109,1
O001295,D125,9
O001296,D023,8
O001297,D027,5
O001298,D172,7
O001299,D077,7
O001300,D042,6
O001301,D172,6
O001302,D045,4
O001303,D178,2
O001304,D056,6
O001305,D180,5
O001306,D191,4
O001307,D110,8
O001308,D028,8
O001309,D125,4
O001310,D042,5
O001311,D156,2
O001312,D046,9
O001313,D158,5
O001314,D132,2
O001315,D151,9
O001316,D133,9
O001317,D188,3
O001318,D178,8
O001319,D025,4
O001320,D166,8
O001321,D185,9
O001322,D137,9
O001323,D146,4
O001324,D194,2
O001325,D154,4
O001326,D036,9
O001327,D161,10
O001328,D038,10
O001329,D010,8
O001330,D013,2
O001331,D188,9
O001332,D137,6
O001333,D092,8
O001334,D010,3
O001335,D004,1
O001336,D160,7
O001337,D037,3
O001338,D071,6
O001339,D195,6
O001340,D045,5
O001341,D024,2
O001342,D010,5
O001343,D192,6
O001344,D021,3
O001345,D051,1
O001346,D091,7
O001347,D191,1
O001348,D135,1
O001349,D144,10
O001350,D169,3
O001351,D068,4
O001352,D023,7
O001353,D169,3
O001354,D038,1
O001355,D091,1
O001356,D066,6
O001357,D114,4
O001358,D024,4
O001359,D118,1
O001360,D140,4
O001361,D129,6
O001362,D045,10
O001363,D175,7
O001364,D185,9
O001365,D067,4
O001366,D028,7
O001367,D056,7
O001368,D158,6
O001369,D090,10
O001370,D027,10
O001371,D136,6
O001372,D013,4
O001373,D194,5
O001374,D107,8
O001375,D008,1
O001376,D024,6
O001377,D135,2
O001378,D064,2
O001379,D179,8
O001380,D010,7
O001381,D156,4
O001382,D197,5
O001383,D015,8
O001384,D184,7
O001385,D032,10
O001386,D028,3
O001387,D074,3
O001388,D081,4
O001389,D187,6
O001390,D073,8
O001391,D037,2
O001392,D175,5
O001393,D197,2
O001394,D018,7
O001395,D063,1
O001396,D175,10
O001397,D169,8
O001398,D091,1
O001399,D147,8
O001400,D031,5
O001401,D089,1
O001402,D180,1
O001403,D024,5
O001404,D198,2
O001405,D187,1
O001406,D089,10
O001407,D022,8
O001408,D068,2
O001409,D028,9
O001410,D199,3
O001411,D047,9
O001412,D133,9
O001413,D125,6
O001414,D182,9
O001415,D186,5
O001416,D166,3
O001417,D019,6
O001418,D075,10
O001419,D153,4
O001420,D153,9
O001421,D001,3
O001422,D001,2
O001423,D038,8
O001424,D129,1
O001425,D138,4
O001426,D136,9
O001427,D078,7
O001428,D192,9
O001429,D142,1
O001430,D069,2
O001431,D093,1
O001432,D014,3
O001433,D195,7
O001434,D051,4
O001435,D109,9
O001436,D035,7
O001437,D196,8
O001438,D185,7
O001439,D080,2
O001440,D109,5
O001441,D059,4
O001442,D084,7
O001443,D126,4
O001444,D023,7
O001445,D133,10
O001446,D092,2
O001447,D002,9
O001448,D152,2
O001449,D125,9
O001450,D116,10
O001451,D063,9
O001452,D164,6
O001453,D053,3
O001454,D129,2
O001455,D017,8
O001456,D177,10
O001457,D106,1
O001458,D165,1
O001459,D179,3
O001460,D127,8
O001461,D120,9
O001462,D095,6
O001463,D035,4
O001464,D181,10
O001465,D177,9
O001466,D141,5
O001467,D193,7
O001468,D095,5
O001469,D134,5
O001470,D083,4
O001471,D081,7
O001472,D020,9
O001473,D082,1
O001474,D003,1
O001475,D054,5
O001476,D108,9
O001477,D175,4
O001478,D099,5
O001479,D128,2
O001480,D070,10
O001481,D153,2
O001482,D021,1
O001483,D032,5
O001484,D010,6
O001485,D044,4
O001486,D109,2
O001487,D036,10
O001488,D113,5
O001489,D071,9
O001490,D111,1
O001491,D002,7
O001492,D037,2
O001493,D067,1
O001494,D194,4
O001495,D132,5
O001496,D134,6
O001497,D066,5
O001498,D029,7
O001499,D021,7
O001500,D105,3
O001501,D177,9
O001502,D073,9
O001503,D168,8
O001504,D193,8
O001505,D062,5
O001506,D170,3
O001507,D112,3
O001508,D116,1
O001509,D187,4
O001510,D051,9
O001511,D188,10
O001512,D082,5
O001513,D152,1
O001514,D005,7
O001515,D125,9
O001516,D087,1
O001517,D147,2
O001518,D112,9
O001519,D093,2
O001520,D187,10
O001521,D010,4
O001522,D001,10
O001523,D107,2
O001524,D101,8
O001525,D057,7
O001526,D199,3
O001527,D129,4
O001528,D110,10
O001529,D091,2
O001530,D101,6
O001531,D017,4
O001532,D160,6
O001533,D046,8
O001534,D147,7
O001535,D086,8
O001536,D044,6
O001537,D044,4
O001538,D110,7
O001539,D101,6
O001540,D161,9
O001541,D117,9
O001542,D075,1
O001543,D192,2
O001544,D073,8
O001545,D073,7
O001546,D055,9
O001547,D004,10
O001548,D098,6
O001549,D029,7
O001550,D130,5
